Subject,Position,Session,A_x,A_y,A_z,G_x,G_y,G_z,C_1,Workout
1,wrist,1,0.500253,0.499648,0.744673,0.499916,0.500223,0.499919,0.495319,Null
1,wrist,1,0.498425,0.499542,0.743709,0.500053,0.500112,0.500635,0.501056,Null
1,wrist,1,0.503172,0.500924,0.744673,0.50006,0.500274,0.499756,0.518974,Null
1,wrist,1,0.500962,0.502356,0.744867,0.500053,0.500629,0.499753,0.510901,Null
1,wrist,1,0.501346,0.498531,0.744333,0.499716,0.500176,0.5,0.510085,Null
1,wrist,1,0.50139,0.49964,0.744625,0.499478,0.499694,0.499806,0.527386,Null
1,wrist,1,0.498771,0.501956,0.743357,0.500481,0.50009,0.49984,0.482223,Null
1,wrist,1,0.497969,0.501256,0.745705,0.499932,0.50001,0.500045,0.492619,Null
1,wrist,1,0.500484,0.498483,0.743723,0.499939,0.5001,0.500119,0.493325,Null
1,wrist,1,0.501006,0.502056,0.743571,0.500052,0.500018,0.499971,0.493262,Null
1,wrist,1,0.500518,0.499023,0.746839,0.500121,0.500094,0.500362,0.510347,Null
1,wrist,1,0.499674,0.499582,0.743407,0.49991,0.499884,0.499761,0.508408,Null
1,wrist,1,0.49749,0.500702,0.745464,0.500413,0.499993,0.500212,0.549674,Null
1,wrist,1,0.499435,0.503053,0.745167,0.500159,0.500131,0.499806,0.480054,Null
1,wrist,1,0.502562,0.499242,0.74412,0.499739,0.499686,0.499816,0.522852,Null
1,wrist,1,0.501406,0.50009,0.746701,0.500319,0.499972,0.499684,0.493759,Null
1,wrist,1,0.499124,0.502413,0.744277,0.499898,0.500126,0.50018,0.49304,Null
1,wrist,1,0.499125,0.50033,0.743448,0.500305,0.500086,0.500072,0.511497,Null
1,wrist,1,0.501995,0.500709,0.745577,0.499727,0.49985,0.499881,0.471204,Null
1,wrist,1,0.500466,0.498707,0.745,0.499974,0.500524,0.499723,0.495392,Null
1,wrist,1,0.502033,0.497866,0.743301,0.500224,0.499506,0.500292,0.493658,Null
1,wrist,1,0.498154,0.50076,0.745414,0.500253,0.500189,0.499274,0.489564,Null
1,wrist,1,0.500239,0.497518,0.746678,0.500374,0.49968,0.499448,0.497639,Null
